Enhetsbetegnelse/Navn,Enhetsforkortelse,Enhetstype,Journalenhet,Arkivdel,Samlet enhetsforkortelse,Underlagt avdeling,Opprettet dato
Kurland barnehage,KURBH,NIV5,PM,SAK2,KURBH,barnehagekontoret,
Løken barnehage,LØKBH,NIV5,PM,SAK2,LØKBH,barnehagekontoret,
Løkenåsen barnehage,LÅSBH,NIV5,PM,SAK2,LÅSBH,barnehagekontoret,
Rasta barnehage,RASBH,NIV5,PM,SAK2,RASBH,barnehagekontoret,
Rolvsrud barnehage,ROLBH,NIV5,PM,SAK2,ROLBH,barnehagekontoret,
Solheim barnehage,SOLBH,NIV5,PM,SAK2,SOLBH,barnehagekontoret,
bibliotek,BIB,NIV5,PM,SAK2,BIB,"Bibliotek, frivillighet ogfolkehelse",
"frivillighet ogmøteplassutvikling",FRIVMØT,NIV5,PM,SAK2,FRIVMØT,"Bibliotek, frivillighet ogfolkehelse",
MAI senteret,MAI,NIV5,PM,SAK2,MAI,"bolig, rus og psykisk helse",
rus og psykisk helse,RUS,NIV5,PM,SAK2,RUS,"bolig, rus og psykisk helse",
samlokaliserte boliger,SAB,NIV5,PM,SAK2,SAB,"bolig, rus og psykisk helse",
drift og eiendom,DRIEI,NIV5,PM,SAK2,DRIEI,eiendom,
renhold,REN,NIV5,PM,SAK2,REN,eiendom,
"botiltak ensligemindreårige flyktninger",BOTEM,NIV5,PM,SAK2,BOTEM,"flyktning- oginnvandrertjenesten",
boligkontoret,BOL,NIV5,PM,SAK2,BOL,hjemmetjenesten,
Kommunalteknikk - drift,KTDV,NIV5,PM,SAK2,KTDV,kommunalteknikk,
"Kommunalteknikk -forvaltning ogkommunikasjon",KFOKO,NIV5,PM,SAK2,,kommunalteknikk,07.02.2019
"Kommunalteknikk - Planog utvikling",KTPU,NIV5,PM,SAK2,KTPU,kommunalteknikk,
service og logistikk,SELOG,NIV5,PM,SAK2,SELOG,kommunalteknikk,
Aktivitetshuset VOLT,VOLT,NIV5,PM,SAK2,VOLT,Kulturproduksjon,
Fritidsklubber,FRIKLU,NIV5,PM,SAK2,FRIKLU,Kulturproduksjon,15.02.2019
barnevernvakta,BVV,NIV5,PM,SAK2,BVV,oppvekst og utdanning,
park og idrettsanlegg,PARK,NIV5,PM,SAK2,PARK,"Park, Idrett og friluftsliv",
byggesak,BYG,NIV5,PM,SAK2,BYG,"regulering, byggesak oggeodata",
geodata,GEO,NIV5,PM,SAK2,GEO,"regulering, byggesak oggeodata",
regulering,REG,NIV5,PM,SAK2,REG,"regulering, byggesak oggeodata",
APO skolen,APO,NIV5,PM,SAK2,APO,skolekontoret,
Benterud skole,BEN,NIV5,PM,SAK2,BEN,skolekontoret,
Finstad skole,FIN,NIV5,PM,SAK2,FIN,skolekontoret,
Fjellhamar skole,FJH,NIV5,PM,SAK2,FJH,skolekontoret,
Fjellsrud skole,FJE,NIV5,PM,SAK2,FJE,skolekontoret,
Hammer skole,HAM,NIV5,PM,SAK2,HAM,skolekontoret,
Kjenn skole,KJE,NIV5,PM,SAK2,KJE,skolekontoret,
Kurland skole,KUR,NIV5,PM,SAK2,KUR,skolekontoret,
Luhr skole,LUHR,NIV5,PM,SAK2,LUHR,skolekontoret,
Løkenåsen skole,LØK,NIV5,PM,SAK2,LØK,skolekontoret,
"Lørenskogvoksenopplæring",LVOKS,NIV5,PM,SAK2,LVOKS,skolekontoret,01.04.2016
Rasta skole,RAS,NIV5,PM,SAK2,RAS,skolekontoret,
